show,season,episode,title,description
Seinfeld,7,24,The Invitations,
Seinfeld,8,1,The Foundation,
Seinfeld,8,2,The Soul Mate,
Seinfeld,8,3,The Bizarro Jerry,
Seinfeld,8,4,The Little Kicks,
Seinfeld,8,5,The Package,
Seinfeld,8,6,The Fatigues,
Seinfeld,8,7,The Checks,
Seinfeld,8,8,The Chicken Roaster,
Seinfeld,8,9,The Abstinence,
Seinfeld,8,10,The Andrea Doria,
Seinfeld,8,11,The Little Jerry,
Seinfeld,8,12,The Money,
Seinfeld,8,13,The Comeback,
Seinfeld,8,14,The Van Buren Boys,
Seinfeld,8,15,The Susie,
Seinfeld,8,16,The Pothole,
Seinfeld,8,17,The English Patient,
Seinfeld,8,18,The Nap,
Seinfeld,8,19,The Yada Yada,
Seinfeld,8,20,The Millennium,
Seinfeld,8,21,The Muffin Tops,
Seinfeld,8,22,The Summer of George,
Seinfeld,9,1,The Butter Shave,
Seinfeld,9,2,The Voice,
Seinfeld,9,3,The Serenity Now,
Seinfeld,9,4,The Blood,
Seinfeld,9,5,The Junk Mail,
Seinfeld,9,6,The Merv Griffin Show,
Seinfeld,9,7,The Slicer,
Seinfeld,9,8,The Betrayal,
Seinfeld,9,9,The Apology,
Seinfeld,9,10,The Strike,
Seinfeld,9,11,The Dealership,
Seinfeld,9,12,The Reverse Peephole,
Seinfeld,9,13,The Cartoon,
Seinfeld,9,14,The Strongbox,
Seinfeld,9,15,The Wizard,
Seinfeld,9,16,The Burning,
Seinfeld,9,17,The Bookstore,
Seinfeld,9,18,The Frogger,
Seinfeld,9,19,The Maid,
Seinfeld,9,20,The Puerto Rican Day,
Seinfeld,9,21,The Chronicle (1),
Seinfeld,9,22,The Chronicle (2),
Seinfeld,9,23,The Finale (1),
Seinfeld,9,24,The Finale (2),
